item_description,item_id,restaurant_id,restaurant,classification,unit_price,address_city
pastel presunto com mussarela ,00480074c4d30daf782f682fc36ef2a0f760e41523cd048e8b9e885d7a35e5f8,848d2a95ee79ef7ea6c50bae6bbdcf9626def5771bd228d1a06ccc42afbb844a,Egipcio Esfiharia E Pizzaria,Pastéis,8.1,SAO PAULO
Costela cozida,0048289761e0eedb4f8d901e847692e35c66a7ef1995a00c4d0aaeccd7f778ac,8b2e380ff5793e79d7fc2133809a9d9b4b8ca3b49e34849746709afbc92a0ec8,Q'sabores,Pratos Variados,16,SAO PAULO
File Mignon a Parmegiana,0048f8cc8252771cc7a138904b2f9d11b7e2c07f0979d5e559cc10ce782a80d8,5c91e5d4ee262f32e5fc296461da221312fc4831ad7d5aca8800fec32d864b90,Joakins,Especialidades          ,45,SAO PAULO
Almoço 2 Yakissoba 185 gr + sunomono + refrigerante caçulinha,0049b96737b48ee5aa768436143f6e64465fd83c958235ed4afac76046b748fd,405bc294020c4945d0931f8569be38c81a40842735972d21885eb7a0d027cc6c,Komma Sushi Temakeria E Sushi,kOMBOS   PROMOÇÃO ,22.9,SAO PAULO
Temaki skin,0049c6dd07dfdbd4babaecb27b2df58e8b27a7ae1e96d9dbce02b8f88c47ba87,8b916cd3c7741339400e4c29f09403adeca883826e296b6ee3154e5f5618d243,Db Frutos Do Mar E Sushi,Temaki Grande ,18,PORTO ALEGRE
Combo 3 - 70 Peças.,0049ca207c81dd489d81ded23f5e1488856c53b4b9cf0e41b6be66eeed8f867e,22aa68ea8a780ed9dcdae185836f65ae2a80c3ff6203e6583f02d1ca57206ee2,Uramaki Prime,Itens em destaque.,89.9,RECIFE
Marmitex Filé de frango a milanesa,004a63de173ab2407abe1117273bc7b19323d5e476d6df3ca37b5e9b2e3f1767,7b7e260ac0a6c529e419330cbe608b2910578afcf03c7196ccd4dc4c103e81a0,Boa Parada Bar Lanches Ltda,Marmitex (Aproximadamente 650 gr),15.99,SAO PAULO
Legião urbana,004abe133a5a502655b08bcd8e6153af135b5235523e57ad6a621d0ea629118a,77f0ab46efbc6f25af8477c0dca52b989446118553b6bea453a44dbadb4ca313,Riquella Pizzaria E Esfiharia,Exclusivos ,22,SAO PAULO
Fogazza frango com catupiry,004b4dbdb893811d58986ed71791e304c7b7fb77b1f4190402af959bcb7ed170,d7577dcc4dfd8944398d5dfae8c3958255c0b3fc276d899fc6a744d87f90b615,Esfiharia Canaã,Fogazzas Salgadas,13.9,SAO PAULO
Filé de frango,004b6573622f79a485042e00e2477ac56244212a057fa0973b9a384201edda6c,3772f21c8db668dc3b263eb0285ddd60105c13fe12d3ea2dc32a0003f73469d0,Marmitaria Jn,"Almoço por até R$ 13,90",11,SAO PAULO
Crepe de Milho com Queijo,004bc436e104a3ac96e95b1303cd5e6bfa90b649b4668c6052705b5505abe801,98562fbeb0751184490b3d293a1c3efbf26dfb3a25dc673b408da4ade11225c9,Crepe Frances Best Sellers Delivery,Crepes Salgados,13,SAO PAULO
File de Frango a Parmegiana ( MISTURA),004c6271513396bb2be96f95b0b39c34d5369b5e5609b32e3de80536a00548a8,0cfacbad59c554cc4b15892d7cd1e11811a28a6e4b9262f52eea91d25ca6f909,Imperio Mix Lanches E Refeições,Mistura Extra ,10,SAO PAULO
N° 2 FÍGADO ACEBOLADO,004c7ba2517a0bcd3e11d859765241d7e5238da40737da6404f0530399c68574,4498b5eba58593f80ad3a66b2e43fcca482824ead2e9f9dfca30d9e418e10ab1,Lanchonete Flor Da Teodoro,PRATOS EXECUTIVOS  ,19.5,SAO PAULO
Pf veggie super natural - serve bem 1 pessoa,004c829ed928416eee4181159e5e9b36e3841fb32e013c8e4ba18afa92d87749,caf7e155307e5b46503cb6e7b1cf174bb04b828a2de8ddcff1a03abbb9f0437b,Super Natural,Pratos,29.1,SAO PAULO
Pf veggie super natural - serve bem 1 pessoa,004c829ed928416eee4181159e5e9b36e3841fb32e013c8e4ba18afa92d87749,caf7e155307e5b46503cb6e7b1cf174bb04b828a2de8ddcff1a03abbb9f0437b,Super Natural,Pratos,29.9,SAO PAULO
Combo Chicken Crispy Filé (Batata Grande + Refrigerante Lata),004d1b20c40ffbe0c63224c5419d89b9603f87dac02151f52a4f5242f65d1fda,03aa44cbfca3eb65e99a933f751635ce6d4a3f59cead41ec98282c3aa21e76ea,Ragazzo - Radial,Lanches,19.9,SAO PAULO
Esfiha brócolis,004d366c40fc25693b3250ea53a29e769725bd4d5cce64fc43065c658a87613f,918d152c59ab5d3fca09f2366f0fc096d080df1ee66596f5df0b10d6a82e467a,Pizzaria Buona Madona,Esfihas abertas ,6,SAO PAULO
Pastel de carne com queijo mussarela,004dbe5c6216ceebe62699f18d3663534a9c2cb21fe6c4b3328391d647eeb15e,325ad2382a18e2c8e25d0781bd85616f7e7192e23130251e07ec1c5a79b250d8,Lanchonete Bom Sabor,Pastéis salgados,6,SAO PAULO
SUCO DE MELANCIA,004de581c8ef36088adde8caf6f1e2c2e704a5a739acb8dd197b99853c575608,2934cd134f0c2ea474c00d905d229265e32fd5e247eebfebade388d6dea87a0f,Get Natural,SUCOS NATURAIS,10,PORTO ALEGRE
Absolut,004e2fc325d4dfdf1016d966cef13ca2032d627da54e6a084c0ea7a52fb13d35,cc891e4ee69e15435df32f1270e7c7dbf654fa4945daa1ba50af37cf0a2a83ba,A Liga Gelada - Parada Inglesa,Vodkas ,137.9,SAO PAULO
Cerveja Kaiser de lata de 350ml,004e4b7f3f7ca1ed91de0a6c6bb455be6585b14f6497e4bd286aa9660c7e38bf,6b9928a5a79f7cb26b88f5a1dca37ed74bb2ae1abbb4b18d51e0d30c9ffda44b,Habib's - Tremembé Ii - Vila Zilda,Bebidas,7.9,SAO PAULO
Cheeses Picanha 150g - X-Maionese,004eda7755715ea2a388f2282fe012068f0ba2f2c43eba5198a6d57f8061f17a,ee93902b215a853c2c6aed06a63ef0c12315024cd1276025128ea967eb5dc6e2,City Burger,Cheeses Picanha 150g,23.2,SAO PAULO
EMPADA MEDIA DE PALMITO - FOTO MERAMENTE ILUSTRATIVA,004f48303aa3907ebddece6f839469c40b5b92d769f1bf5ac9a2f93d6c2595e7,74fd5fedc3cb332db3cea605828a9335f8d89ea00beab2107138e7f481d28ff1,Doce Divino,SALGADO,5,SAO PAULO
SOFIOLI INTEGRAL  DE RICOTA E FRANGO COM QUEIJO PARMESAO RALADO E MOLHO,004f5bd1a5709854cea7320782f3eb4125c12ce0626837f0b584c6d2cb7901b0,3747155bedc23192e0f39fb36e03472315b8cc036a2299049e2e802188bbb913,Hamburgueria Mooca,"Almoço por até R$ 22,90",22.9,SAO PAULO
Fogazza Quatro Queijos,004f60d34cf2658e79315850f911192c063f7416b356ff1ed526cfcce2827dd1,ff9abcb3e5f255c00532a34d91bab363659ecf5a47f8c136087a34c16fd525bf,Luamar Pizzaria,Fogazzas,20,SAO PAULO
117 - Tomate Seco Com Quatro Queijos,004f659758040bf5020dd98392efb3adb0336037bfa528312082e005b221e12e,32da480388071d56cf03c91ff4288b3438f255c8b3f33e44530a411534fd6a15,Don Francesco Pastelaria,Pastéis Especiais ,9.9,PORTO ALEGRE
COMBINADO  DE  SALMÃO,004fb63d3e5774cb4941263f8bd9df8d624f5ce0d25c9f9dac4c2956ce953712,22943276a8f9a561575ef8bb39a87f65bbaa2f24df58e9feaa4a829104e7b2da,Yasushi Restaurante Japones,Combinado Sushi e Sashimi,63.9,SAO PAULO
Natural,0050a16fef563bd87b64001d4a79a6b0e0546f177566b14ed7b97f8a3f162223,ced6b180fb07cd697853f4b21415b000a59a70407cf3dc74886f241e32fc6f41,Santa Feju E Cia,Refeições de todos os dias,24,SAO PAULO
Carne acebolada ( P ),0050bc995d04636f19ff6a7834bd2d0a677d45e25256932a0bc750e1b2aec2c4,e02059a37f91c215fe1c849a84b942649348cccfdeaf275d1656117ef38549b0,Yakissoba Mania,Pratos Quentes,14,RECIFE
Nicolas cage + açai 300ml Banana/granola/leite condensado,0050de074f2362685744c551f347ecf9d625a047747718d428beba4d9a049920,51460d362ea67b31b9178705f6000f8dae58bc8a27540a61559ce7bc8739f9c1,Bombx Açaí & Hamburgueria,Cardápio combos promocionais,26,SAO PAULO
Temaki polvo,0050edd5214e0983a13d77208b393b67a8dffc9fff88c1b755414214e69a9840,0aee2efa5b5f6fb2e22c9aa9d80fb76c11abc24d65b98deb385562ce465c22b2,Toshiro Sushi - Santa Cecília,Temaki ,24.9,SAO PAULO
1208 - Bife de Chorizo,0050f9cf16819a5c3759edbc07b09ba55d1cd2318be576da9c25491ccd04902f,59bf3253bf02e891b1191e7a2dcd4d5df2ce17f742454feb0a16801e61352558,D'leve Saudavel Cozinha Do Bem,PRATOS,37.4,RECIFE
FEIJOADA MEDIA,00512bb71a962d8a2f399a5857f388dcf575d0972900329617b228685def14c7,383c73e7e60a1e3bba89af66d3ce1e5e6ee71cad29b2b29b8a38a7325ac1c84f,Restaurante Chopp Center,Almoços Executivos,40,SAO PAULO
Pizza Família + Guaraná Fruki 2.0 litros,005181075b8141cb6bc297cc4bc443f5bb7ee751d24d818a7ffd00099a5bcbf8,93c0c164cd25965753c6cf347c5d59d899cd757fc8d5bba8d5269a9c0fa2e533,Garcias Pizzaria,Combos e Promoções,60.5,PORTO ALEGRE
Rolinho de frango cremoso ,0051c461c23f6e0f941d23cf342734158bfe0e9ada2b954426d68ba3920e9728,644f8ae3b20a4c92610a5de4503aedfcc8391577ce38cb4477ddcfe9bd5208fa,Oriental Box,Rolinho primavera,6,SAO PAULO
Guarana Antarctica 2lt,0051fe4cf3e5d3329ff013669b38d6f72e3c6f96d9f3cf73f68f26b5a898ee91,6d5cf9beca9bebd1e142404ab0dc39132fa690060e543ae32ecefd0ef62600ca,Marmitex Da Sol,Bebidas,10,SAO PAULO
Pao de alho na brasa,00524bf52bf6da136217ab399d5b28987a558ccc2b5b1b691e70adb9082d8b5c,f2568e457d3d303af48a98b60b0829719b044855a135a4846cdec656bc655ae1,Megaleto Galeteria,Acompanhamentos (sugestão 3 pessoas),12.9,SAO PAULO
Fogazza bacon,0052916fd1c2d4681d8426ca058de4c5c0fc29f6b608acdc07bfe955afb3936f,ea2984c0e986db504b841e6bc8b85eed3d05eba4b219b1ca3a2e2770b30e8172,Steve Pizza - Jd Independência,Fogazzas,12,SAO PAULO
16- kids burger,0052d45776178e61556335b7e353107eb1c6a735120efd4f3b4dca84379a9acd,9b72a11e4fcae5af170acace07f5f23223be4e369b59c9a76527e139aa578f29,Toka Do Lanche,Lanches,10,PORTO ALEGRE
Esfiha queijo,0052df53a898e1030900560f7054e49b2e761ff51de7fc0c77256eadb8e52faa,35571272e05df88e652dfae3fa4bb95e2ecf51a2b1df877f9cc6e1d3fce41aa1,La Celita Pizzaria,Esfiha aberta,3,SAO PAULO
Monstruoso Crepe de Picanha,00530874280526bbedc7f2afca519550534af211551610dcd980e4b70a04b757,f0e9ffc9907a9a5d3e350d842588cfed48a34930a9d5f61275825bd05f4dbe74,"Crepioca Da Vila - Crepes, Tapiocas",Crepe Salgado,55,SAO PAULO
Calota chocolate com morango,00531986b03210ce6683e48ada42e68e2b435af4b3acaf3488eca7b4ae6cd285,053972cd713a90c3c7523c76fdeb7be50db31e9ff221cf9aeddb7198cde65248,Xis Calota,Xis calota,38.5,PORTO ALEGRE
File de frango empanado,0053537ade236a2e1c7e9527acee8bc568c16f58eb51dfaa782a1b79af7deea8,5f626607e069a32a84ae185e214a90af6e0bb837b80d53a305e618886a20f4aa,Cucina Bella Ana,Refeiçoes ,21.99,SAO PAULO
Creme de papaia,00538fb1c1312951a9f9319e757b57cc9cb0f5d58fa4746b50db6c6ebe1fa791,43746efad99ad97710753b4a018dc12e02acbafcfa13f724d7d087f7581bc4cd,Sassá Sushi - Natural E Orgânico,Sobremesas,16,SAO PAULO
5070 - CB YAKISSOBA P1,0053c3f18371ef79c88a5bc9580b2b25af6abdc3607e4f5a4171c2f06639bb29,54961eb0f9e2148d440f8a718347f9aeff7bf47921e9920507c4960e98c124d7,Zen,COMBOS,36.9,RECIFE
refrigerante lata,0053e4b057a81eefc395191362486e690b7e4eaad9dbe9d79a4e3e27208cc030,93d0e842d6a7a04626c152b4af860bf95cdcb603aac613233347d8e925b9c8ce,L.a Lanches,Bebidas,3,SAO PAULO
Festival Jantar,0054a65837458d3f6ae48c1b492f5367e8e12d235001969ac79a2fb495743bc2,d63fd645c99ab07cb18f7b3f670fe18228593b0a96cab63ef429c3dd3ad400fe,Matsuya - Aclimação,Promoções,89.9,SAO PAULO
Esfiha frango com requeijão (287kcal),0054daf6b89172173a4d4aedeeac54b01b322626e0b56683a6e4f7ba4b1ebc05,86b891772777865a9e46feb1420f9cbb62cb08e8a865270130ffe7195c85a0f2,Fiqfit Gourmet Breakfast,Esfihas,4.9,SAO PAULO
"Pizza Marguerita Grande (8 fatias), De segunda a sexta",0054dbf66024a70cf30af8d3a6a4d80662fa8eb1292e9a46f51e14f7b36f5a35,e63734d9ab3401dba416cbeeaf934a4357ccf95dba1320c4e430b5eae9643af4,Restaurante E Pizzaria Dos Gêmeos,Promoções dos Gêmeos,19.9,RECIFE
Duplo X-Salada com ovo,0054e95f2a11cc8097986f8c35945ffd1e8bcc36873e121e2d9f9c73818952cd,2cb8c1e10d5f945e7731daa0b4007443334f7af5e5affe37dbb3f83402b3f70d,Esfiharia Imperial,Lanches,25.99,SAO PAULO
Creme de Espinafre Gratinado,005574f306fc717ff1d06c4814e653f9b503b17dfad418972f51995c8ade852c,b6f01351caddae0bef0efbd511ecaa05736ea90d8f1dce88144585b3847d81f3,Bárbaro,Acompanhamentos,28,SAO PAULO
CHURROS 6 Unidades  C/ doce de Leite ,0055a5eea320d4df252f53db19aa8b4925cafe27889f5be98c80ed5f1f099c82,b6aec71178d9d61276673e33a831869d075fa7795b5827cd6f7beee4d5ca59e1,Depot4 Grilled Burger Tatuapé,Doces,11.9,SAO PAULO
TEMAKI SAKE TEN,005638acaecf665214c71eae2b4924b810fc2f8edf7433e2ec6f954200b2973e,ef8b6ad59003281cc8a33dada6680a15af0ed7c105f80fd2476044f24aa2d47e,Pizzamaky,TEMAKIS HOT - ENTREGA GRÁTIS,17,RECIFE
3493 - açaí na tigela c/ 1 fruta,00565801aae930ac5d5f2c6436b3573eb73bf1436e1f13f66d975b2087109ed5,0580f9f8e38686d5a947d37c09574a0d9c9f39c1eb062cc358b0ccbc591b1087,Padaria Bella Buarque,Açaí ,18.6,SAO PAULO
3493 - açaí na tigela c/ 1 ingrediente,00565801aae930ac5d5f2c6436b3573eb73bf1436e1f13f66d975b2087109ed5,0580f9f8e38686d5a947d37c09574a0d9c9f39c1eb062cc358b0ccbc591b1087,Padaria Bella Buarque,Açaí ,18.6,SAO PAULO
Kibe Assada.,005686683f1c0eeb27037df04d9f4faf6a416a5e753a4d16500a84742da91b60,fa9c257d5c160455dba994691c2455f4f3a61dc5c41dd3d21c1cc81d4aa2483f,Zaatar & Azeite,kibes fritos e assado.,14.99,SAO PAULO
"Esfiha de Carne em DOBRO. Você compra uma por 1,98 e leva duas.",0056bcc9dbbcdd855b2f9df39bddc2e9135689ac77c6f133cc2ad0360318fe6e,3effc2ea9d3fc27a0298a53fd94a149970bbd1f0c740a3f7e4220d7e896adfa4,Habib's - Eliseu Almeida,Esfihas e Salgados,1.98,SAO PAULO
OFERECEMOS 5% DE DESCONTO NOS PEDIDOS PAGO C DEBITO MAQ. NA ENTREGA!!!,0056f154b73fbff3f594fec0a62c26edc412c1b425b193527d869f1cacf02491,d419ad8fae7b95bb859a8a212e0d067b879014a23f73674005257c12dafa0a8d,Super Lanches,Combos,0.01,SAO PAULO
Quesadilla brasileira,0057549d464cef32259fb517e03bac2f3271d71378fd66e3810a01a8f8aa198a,f2b2e67524f0d8f1112f608befb039b69ccb996d0325c7ed39f3d4b08dd4c7e4,Nacho Libre,Quesadilla,42.9,SAO PAULO
Combo 5 ,00577933b6aec12505d61feb8efa553002c4a3b68da7ef0afbac3daabb5c8909,cb5342e11e95fd337f179eaf6d19b06d4f884725c27fd9a6354ab0e7d809d52e,Shopsoey,Combos,35.9,SAO PAULO
Esfiha Chocolate com Morango,00577fb23d337d5c746031ca77f5d48a9e81c63b439f49bcf510bb4ae9ddbb72,c081e6d8c6c3b1cd18039a891669c8e3df1f149db6e3a3353b75c663c1ba0dc1,D+ Pizzaria,Esfiha aberta,6.5,SAO PAULO
Guaraná antárctica ,0057c2aa132bc37ba57266dfbcdde12d94531e6ac925873662e18adabc69cdce,ad2660e18ce46e1846c203db895fef5430ad7c707adc49459cfb5b529a0359f5,Mini Salgados No Copo,Bebidas,6.5,SAO PAULO
Fritas especiais grande cheddar e bacon,0057c7b404808e37ec7bd9d0ce8cc782d0990d4b665b27cab17f8c12e9ddc277,bcc19434827d06e95a7f5707c9333416e0b3e3cac9c62ae85d33a41e88cb9312,Coma Bem Lanches,Salgados e fritas especiais ,13.5,RECIFE
Água com gás 300ml,00583916c99bc94212f52323b81c72c3576f620184d4925d3b48bd5c4ceb01d9,334351ea96e8b6997a12b757bcf725f7db08377a42ca24a9952bdf2083ae998f,Leve  Detox,BEBIDAS,5,SAO PAULO
FEIJOADA INDIVIDUAL ,005884088e6399ddb7acade68e443a66aac527f8c5929cd2da9eaa74cafe4505,0002c5b1613b14bd7b69085ba234be213a5f884f8bfe1fa2d0f69343f306fa70,Delícias Brasileiras,Marmitex,12.9,SAO PAULO
FEIJOADA INDIVIDUAL 1,005884088e6399ddb7acade68e443a66aac527f8c5929cd2da9eaa74cafe4505,0002c5b1613b14bd7b69085ba234be213a5f884f8bfe1fa2d0f69343f306fa70,Delícias Brasileiras,Marmitex,12.9,SAO PAULO
Bife a milanesa - tudo separado ,0058ae7a0da9ac08e151155418549e4da165a27bb36bb8b43e95c205454c3c43,0e2a0be2b58c18d8d5ffdf4783ce07138d62cafdf393482bd3b0ab0f155e89d7,Fast Forno E Fogão Delivery,Parmegianas ,20,SAO PAULO
"yakissoba jr. Macarrão ,carne,frango,acelga,pimentão e cenoura com batata frita e refrigerante de 237 ml",005949b717b00e167693a0f6e1c43d75e59cba5aa6ef3a38f7ac4c91b3817693,e545c5e3ad3205c2a14c6b441a4cc4567d8937d92c214b243afd6267545dfbaa,Chino Express,Promoções,20.9,RECIFE
"yakissoba jr. Macarrão ,carne,frango,acelga,pimentão e cenoura com batata frita e refrigerante de 250 ml",005949b717b00e167693a0f6e1c43d75e59cba5aa6ef3a38f7ac4c91b3817693,e545c5e3ad3205c2a14c6b441a4cc4567d8937d92c214b243afd6267545dfbaa,Chino Express,Promoções,20.9,RECIFE
Teishoku harumaki,00596fae6ea4822cad61bf77c92a85f85ab6fd49556729fec53e769599802528,bc196ef52af6f60df39f899c62ecb922ff4d9bb40a517841733c3adbc1634b6a,Gendai - Freguesia Do Ó,Teishoku,25.3,SAO PAULO
Uramaki Hot Filadélfia,00599bccbe5508d1860de382eae838d5a16e0765a128dd02beaf4ae1f15259ba,d58b272053ff3774f475576a13b198a5bc6633d47ea65920a5857d5752b69914,Peixe Ao Cubo,Uramakis (8 unidades),17,SAO PAULO
Virado à paulista,0059cdc99e3deae1295c2c61ede5a9992d5786a2a70336d3f46180afc21059af,58700070d88a164b22cbbad44e384755799daa9f82f85c846d684b6192dcc29d,Sabor Gaúcho,Marmitex de segunda,18,SAO PAULO
Milk-Shake 440ml,005a24e403318130a998c725ca8c76c7f2b3a023361ec45b48462ad29cf9bbe2,f10b3749a7c00cc009d1235d23bfa7951e312a580b181f84789f6bcf07544e96,Bro Burger São Paulo,Bebidas,18,SAO PAULO
Milk-Shake 440ml,005a24e403318130a998c725ca8c76c7f2b3a023361ec45b48462ad29cf9bbe2,f10b3749a7c00cc009d1235d23bfa7951e312a580b181f84789f6bcf07544e96,Bro Burger São Paulo,Bebidas,19,SAO PAULO
45 - Pizza Pomodoro - Porção Individual,005b2c22565155158f782edd7934491c132ce7186f2e35768d8cc57e945e027b,6231cdf7fe8dfc6aa5bafe672aeadaadccfe13be837358f88504ba8414f8dfc2,Pizza Crek - Vila Madalena,Pizza Crek Salgada,11,SAO PAULO
PROMOÇÕAO COMBO SUSHI 30 PEÇAS (PAGAMENTO EM DINHEIRO),005b7a0dbcdde33174b60836265bab0f8a1ed540afd842499d83cd84b56e3bba,64b1cdfa7d53396bd706fd6c04a472ecdce9590f3dee4f8de19b2055d2eff2e4,Combo Sushi,PROMOÇÕES COMBO SUSHI,40,RECIFE
ERSFIHA DE BROCOLIS,005c3438e458e611642a0588169574ef83d30e8adfc52446533df8fafba4c389,e273bcbbbc37614773cf7c7ccb030c9d2c7307aa056d71bb9de85ec0107835d3,Pizzaria Johnny Grajaú,Esfihas salgadas,2.5,SAO PAULO
Bolo de Morango - Fatia Aprox. 100g,005c406eafb787eb45dac463b7d689f8d61d3fb665b581646bd4d588568463f5,801df710d880a7926bdb4c5d47285d92fe7954e7e34ec3947e80901ed479ff9b,Amor Aos Pedaços - Pamplona,FESTIVAL DO MORANGO - BOLOS EM FATIA,13.9,SAO PAULO
Frango aparmegiana,005cbde0c51f9e1e12081d94f099c0ed6602366ec67e789b8f05d310013b5b06,b5ce659ef3323dcc4acdadf40df33278b32a8e2fbd5ed2f8b2d406a224a914cc,Comida Dona Ana,Sábado,27,SAO PAULO
Hot roll 10 unidades,005ccfdabd670aed555c44cec6666238dd2539959ccff5a725237bac0f03cf0e,9fdc46113f1678fbe8fbab3c188a496e389b9a6c7669a0245e774fa1ac1eacc6,Kauai Sushi,Pratos quentes,35,SAO PAULO
Chicken McNuggets peito de frango 4 unidades,005cd2f69411fc0d9582832c6ab668948d604505373583ea7c22a9b714804b25,af8309da9d73886108c0706851f0f34876d5786cd205d1e6740327ef05571171,Mcdonald's - Silva Só,Acompanhamentos,9.5,PORTO ALEGRE
Combo Burguer Kids com suco,005ce70a9a64529eee282819b941f4a6ec1928229e6dc96f8f5091c88d2ed4cb,bb4cdf3758102b57ea88fb39765b261abd5de2dc2191b253a6b877b2eaf6a216,Habib's - Interlagos,Kit Infantil,16.5,SAO PAULO
Filé de frango à milanesa,005d12485f9cfd12496744e3eb756334fa844a9f468d69e4bc660006137a8fb8,a7b80431036ed2644c2958c3ff0a0a6cbe6aa038ad1d5679f527f999a6bc6303,Estrela Do Tatuapé,À milanesa,28,SAO PAULO
vaca atolada,005d29072f26a892339c24cd0e65484c353f13c8693f0f3d2db635a4125c24d5,e832623fd3adfc499d8b83416820e16cf48f8bedca2976e5b6afeaa8b9d0b7a6,Canto Do Norte,Pratos do dia,16.9,SAO PAULO
Água mineral Bonafont (500ml),005e0ea7a59c62165dfc00399ea1eca6ac28e9fdb49ac599c9fe50ac4f28ac6f,8238a70d311d249404707a9e99be79759a34cddbf6cf34a62a779703658ccd6e,Quanta Cafeína!,Bebidas,4,SAO PAULO
Xis frango com bacon grande,005edae7b91b2831896811deaff3879061c080e29db18ce151b56dfbc41ca6c4,53e2ea9a4e9c5b0dce23c5bfbf0fdac61cb74d7be18a7a0ff71d7a6b1cd796f4,Mister X,Xis ,23.5,PORTO ALEGRE
Kit família 4 - CHEESE EGG,005eeb800072e04f12069858042b4db30bbe6829f5b9b60c2c304cbfe96b8ab9,28222e62c49635348386b031b8d5a494ef77524cf4eac4bcf0c888e1fc409445,Rota 448 Burger Park,Promoção família,42,RECIFE
Batata recheada n° 08,005f3fd2f059f9bca0fc06532a604cce2e4747ceef0e0da488f198518b6cf762,4f96fb31346eb4d83eda0593dcfd6766a112a54178867f8b7687d3ddb0f16806,Batataria Mila,Batatas recheadas,22,SAO PAULO
Filé mignon,005f513ea7ffa0ca176e8f36638745e99f7e6fef8b6d449cac143aa4bd86d896,8d0116b016cd01282099e0f6ee5e34f205295a400e21ccb18d649f179b037184,Nova Iraé,A la carte especiais,33.9,SAO PAULO
Cachorro quente - 1 salsicha,005f7bdb27229f11a8dcc41fd6f1cecd995b096084ac36d95c031b3c3d185e15,42d0a9ed064f9c7a6a298eb8a6f64099d4f74ee3e80a4c63665a508f65587915,Cachorro Quente Do Gordo,Cachorro quente aberto,12,PORTO ALEGRE
Batata Rústica,005fee746f884f90f39e8d1c82494ede2f22a6098d4053735279a4c8d8a848f0,6bdc540f084d9b41c0b5930a4264bf67d27cbdf9c6222f867cbc7beabd4f8bf7,The Fifties - Shopping Villa Lobos,Entradas,22.5,SAO PAULO
Lamen Simples,005ff72b3dd042417f13e4ede9f7282b9dc194c16fb1a469cc6ea6e83a3d5b17,93b4e8c9ce80307442d4fda72ae68699c1a6a956ba19ca9e9f26e5aa0402b24f,Fujimae,Lamen,26.9,SAO PAULO
Veg samosa (4 unidades),00601df545a978910dc3de69aac5e07bd58964a84888df0738289fddcd8235b7,1110161364af174693fac268313d31bc69b3ce270990a60ab8fea0eb5bd6415d,Bombay Grill,Entradas,18,SAO PAULO
Pizza toscana + refrigerante lata,006097a44aead12b0ac6a0e1a9b1f0c4c77ce12466c3242d66e6f93d7fc73723,77f968dcca2277e164271c04e4c64b5ebb2a5047b01e20625d03732fe953c911,Pizza Crek - Tatuapé,Combo crek,12,SAO PAULO
Hot-Dog Simples,0060ffa443c6602cd4b18452ab4ad277160cd4c0f8d6168d7c3f3fff5541c233,8ac2ec02665f4ff2e50885917579ec1a37819a73cda7451ddbd7d8af03ed1c12,Mr. Tasty,Hot-Dog's ,7.5,SAO PAULO
Combo com 16 salgados (12 Esfihas + 4 kibes) + Refrigerante 2 litros,00610c43f196455d26ab4b71b3046ff471139d6886dd52ba73b2be2ed2ee61af,d05b49ab74a8c7025b4fe9f8325fa0bbff6eee48fb84ef4cf19449dabebd5f87,Habib's - Jabaquara,Promoções Especiais,49.8,SAO PAULO
CLONE DE YAKISSOBA DE 2 - SERVE 04 PESSOAS,0061571b4985d15a006267c4d364bd01dae01924d88ef0df1257e57840061532,cdfac71737d962ded43a49d7b6282e4ad2297bcd5f6075fa7749cb39a3fe7cc2,Recanto Do Yakissoba,PROMOÇÕES,47.99,RECIFE
CLONE DE YAKISSOBA DE 2 - SERVE 04 PESSOAS,0061571b4985d15a006267c4d364bd01dae01924d88ef0df1257e57840061532,cdfac71737d962ded43a49d7b6282e4ad2297bcd5f6075fa7749cb39a3fe7cc2,Recanto Do Yakissoba,PROMOÇÕES,45.99,RECIFE
Tubaína funada laranja,00618b564954fb254c636d774aee5d0ae47682bc4d2ced7bfb89766f7f55919e,3ce6c0a357aee9d0b7d41e57f0dfc36dae8e209183b13367f0b8debf709c831c,Tubaina Bar,Tubaínas,6,SAO PAULO
Galeto Assado com Osso,0061d0a825dee5c30b3c21c0556d9a587aa9d2ce49515ff972b19e8291f6cb97,342a6a187e8518a862ae02feabc73ee3c681672d447ef97d6bf3a6c1cf10ec5b,Magic Chicken Cambuci,Aves,38.5,SAO PAULO
Esfiha de catupiry original com milho,00623ff849e0028242d8a7a121bcd703f18d3c43e0c72889c134b4a495c6ea23,e849a4880be0636e0358d96d78e4fd05f784a5df862b4fabec184dc67cf0d2e6,Esfiha & Cia - Jardim Brasil,Esfihas salgadas,3.5,SAO PAULO
Cerveja lata,0062b5b3c6c7ef96223c723079842fa5c530e418542fe5b6927c619076ad68e5,6acdf7980d4276a092a6364a65f5a855e52e2b231a89133118a86cf92a6ccf2f,Pasteko - Parque Continental,Bebidas,5,SAO PAULO
X frango cheddar,0062eafd74bcca0180f28855ab2f8d37ebfc64febdabf602701f18320ba9edf2,69a732293730ebf51f70d86e0de9d4c61c5c8274cfb2f06b98e78d2e7c9db87f,Disk Burguer Tremembe,X burguer cheddar,21.8,SAO PAULO
